@relation Credit_Approval-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0

@attribute 1 {a,b}
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 {l,u,y}
@attribute 5 {g,gg,p}
@attribute 6 {aa,c,cc,d,e,ff,i,j,k,m,q,r,w,x}
@attribute 7 {bb,dd,ff,h,j,n,o,v,z}
@attribute 8 numeric
@attribute 9 {f,t}
@attribute 10 {f,t}
@attribute 11 numeric
@attribute 12 {f,t}
@attribute 13 {g,p,s}
@attribute 14 numeric
@attribute 15 numeric
@attribute class {+,-}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
b,32.33,7.5,u,g,e,bb,1585,t,f,0,t,s,420,0,-,no,yes
b,34.83,4,u,g,d,bb,12.5,t,f,0,t,g,184.01477,0,-,no,no
a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,980,0,-,yes,no
b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,-,no,no
b,44.83,7,y,p,c,v,1625,f,f,0,f,g,160,2,-,no,yes
b,20.67,5.29,u,g,q,v,375,t,t,1,f,g,160,0,-,yes,no
b,34.08,6.5,u,g,aa,v,125,t,f,0,t,g,443,0,-,no,no
a,19.17,585,y,p,aa,v,585,t,f,0,t,g,160,0,-,yes,no
b,21.67,1165,y,p,k,v,2.5,t,t,1,f,g,180,20,-,no,yes
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0,-,no,no
b,49.58,19,u,g,ff,ff,0,t,t,1,f,g,94,0,-,no,no
a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0,-,no,no
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0,-,no,no
a,31.56817,3.5,u,g,d,v,3,t,f,0,t,g,300,0,-,no,no
b,27.25,625,u,g,aa,v,455,t,f,0,t,g,200,0,-,yes,no
b,37.17,4,u,g,c,bb,5,t,f,0,t,s,280,0,-,no,no
b,31.56817,375,u,g,d,v,875,t,f,0,t,s,928,0,-,yes,yes
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,188,0,-,no,no
b,34,4.5,u,g,aa,v,1,t,f,0,t,g,240,0,-,no,no
a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27,-,no,no
b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,112,0,-,no,no
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120,0,-,no,no
b,31.56817,5,y,p,aa,v,8.5,t,f,0,f,g,0,0,-,no,no
b,52.33,1375,y,p,c,h,9.46,t,f,0,t,g,200,100,-,no,yes
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,-,no,no
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,-,no,no
b,23,625,y,p,aa,v,125,t,f,0,f,g,180,1,-,no,no
b,31.56817,0.5,u,g,c,bb,835,t,f,0,t,s,320,0,-,no,yes
a,22.5,11,y,p,q,v,3,t,f,0,t,g,268,0,-,no,no
a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500,-,no,no
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164,400,-,no,no
b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,80,0,-,no,no
b,18.67,5,u,g,q,v,375,t,t,2,f,g,0,38,-,yes,no
b,25,12,u,g,k,v,2.25,t,t,2,t,g,120,5,-,no,no
b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,75,0,-,no,no
b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,152,130,-,yes,no
b,28.75,1165,u,g,k,v,0.5,t,f,0,f,s,280,0,-,no,yes
a,25,11,y,p,aa,v,4.5,t,f,0,f,g,120,0,-,no,no
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,176,0,-,no,no
a,19.75,0.75,u,g,c,v,795,t,t,5,t,g,140,5,-,no,yes
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329,0,-,no,no
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147,-,no,no
b,24.58,12.5,u,g,w,v,875,t,f,0,t,g,260,0,-,no,yes
a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0,-,no,no
b,20.67,1.25,y,p,c,h,1375,t,t,3,t,g,140,210,-,no,yes
a,25.42,1125,u,g,q,v,1.29,t,t,2,f,g,200,0,-,yes,no
b,37.75,7,u,g,q,h,11.5,t,t,7,t,g,300,5,-,no,no
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,+,yes,yes
b,57.83,7.04,u,g,m,v,14,t,t,6,t,g,360,1332,+,no,no
a,20.75,10335,u,g,cc,h,335,t,t,1,t,g,80,50,+,no,yes
b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200,300,+,no,no
b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140,258,+,no,yes
a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,120,567,+,no,no
a,44.17,6665,u,g,q,v,7375,t,t,3,t,g,0,0,+,no,yes
a,23.5,9,u,g,q,v,8.5,t,t,5,t,g,120,0,+,no,no
b,34.92,5,u,g,x,h,7.5,t,t,6,t,g,0,1000,+,no,no
b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410,2510,+,yes,no
b,22.75,11,u,g,q,v,2.5,t,t,7,t,g,100,809,+,no,no
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274,610,+,no,no
a,28.42,3.5,u,g,w,v,835,t,f,0,f,s,280,0,+,no,yes
b,67.75,5.5,u,g,e,z,13,t,t,1,t,g,0,0,+,no,no
b,20.42,1835,u,g,c,v,2.25,t,t,1,f,g,100,150,+,no,yes
a,47.42,8,u,g,e,bb,6.5,t,t,6,f,g,375,51100,+,no,yes
b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,0,367,+,no,no
b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408,1000,+,no,no
b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,350,0,+,no,no
b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200,1000,+,no,no
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204,0,+,no,no
a,18.83,9.5,u,g,w,v,1625,t,t,6,t,g,40,600,+,no,yes
a,26.92,13.5,u,g,q,h,5,t,t,2,f,g,0,5000,+,no,yes
a,31.25,3.75,u,g,cc,h,625,t,t,9,t,g,181,0,+,no,yes
a,56.5,16,u,g,j,ff,0,t,t,15,f,g,0,247,+,yes,no
b,43,0.29,y,p,cc,h,1.75,t,t,8,f,g,100,375,+,no,no
b,22.33,11,u,g,w,v,2,t,t,1,f,g,80,278,+,no,no
b,27.25,1665,u,g,cc,h,5085,t,t,9,f,g,399,827,+,no,yes
b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,160,2072,+,yes,no
b,23.25,1.5,u,g,q,v,2375,t,t,3,t,g,0,582,+,no,yes
a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,0,2300,+,yes,no
a,30.5,6.5,u,g,c,bb,4,t,t,7,t,g,0,3065,+,no,yes
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,0,2200,+,yes,no
a,46.67,0.46,u,g,cc,h,415,t,t,11,t,g,440,6,+,yes,no
a,58.33,10,u,g,q,v,4,t,t,14,f,g,0,1602,+,yes,no
b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,93,0,+,no,no
b,23.08,2.5,u,g,c,v,1085,t,t,11,t,g,60,2184,+,yes,yes
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0,0,+,no,no
a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,0,0,+,no,no
a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70,0,+,no,no
a,68.67,15,u,g,e,z,0,t,t,14,f,g,0,3376,+,yes,yes
b,28,2,u,g,k,h,4165,t,t,2,t,g,181,0,+,no,yes
b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280,2000,+,yes,no
b,27.67,2,u,g,x,h,1,t,t,4,f,g,140,7544,+,no,yes
b,44,2,u,g,m,v,1.75,t,t,2,t,g,0,15,+,no,no
b,25.08,1.71,u,g,x,v,1665,t,t,1,t,g,395,20,+,no,yes
b,32,1.75,y,p,e,h,0.04,t,f,0,t,g,393,0,+,no,no
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,21,10561,+,no,yes
a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,29,837,+,no,no
b,19.33,9.5,u,g,q,v,1,t,f,0,t,g,60,400,+,no,no
a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,440,11177,+,no,yes
b,36.67,3.25,u,g,q,h,9,t,f,0,t,g,102,639,+,no,no
b,37.5,1125,y,p,d,v,1.5,f,f,0,t,g,431,0,+,yes,no
a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,370,0,+,no,no
b,41.33,0,u,g,c,bb,15,t,f,0,f,g,0,0,+,no,no
b,56,12.5,u,g,k,h,8,t,f,0,t,g,24,2028,+,yes,no
a,49.83,13585,u,g,k,h,8.5,t,f,0,t,g,0,0,+,no,yes
b,22.67,10.5,u,g,q,h,1335,t,f,0,f,g,100,0,+,no,yes
b,27,1.5,y,p,w,v,375,t,f,0,t,g,260,1065,+,yes,no
b,25,12.5,u,g,aa,v,3,t,f,0,t,s,20,0,+,no,no
a,26.08,8665,u,g,aa,v,1415,t,f,0,f,g,160,150,+,no,yes
a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60,540,+,no,no
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60,158,+,yes,no
b,47.67,0.29,u,g,c,bb,15,t,t,20,f,g,0,15000,+,yes,yes
a,21.25,2335,u,g,i,bb,0.5,t,t,4,f,s,80,0,+,no,yes
a,20.67,3,u,g,q,v,165,t,t,3,f,g,100,6,+,no,no
a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0,3000,+,no,yes
a,22.42,5665,u,g,q,v,2585,t,t,7,f,g,129,3257,+,no,yes
b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,181,1655,+,yes,no
b,40,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0,500,+,no,no
b,40.58,5,u,g,c,v,5,t,t,7,f,g,0,3065,+,no,yes
a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300,1430,+,no,no
a,33.08,4625,u,g,q,h,1625,t,t,2,f,g,0,0,+,no,yes
b,21.33,10.5,u,g,c,v,3,t,f,0,t,g,0,0,+,no,no
b,42,205,u,g,i,h,5125,t,f,0,f,g,400,0,+,no,yes
b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,510,600,+,no,no
b,22.67,1585,y,p,w,v,3085,t,t,6,f,g,80,0,+,no,yes
b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195,0,+,no,no
b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,144,7,+,no,no
b,33.17,3165,y,p,x,v,3165,t,t,3,t,g,380,0,+,no,yes
b,48.17,7625,u,g,w,h,15.5,t,t,12,f,g,0,790,+,no,yes
b,27.58,2.04,y,p,aa,v,2,t,t,3,t,g,370,560,+,no,no
b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60,396,+,no,no
a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,0,678,+,no,no
a,41.33,1,u,g,i,bb,2.25,t,f,0,t,g,0,300,+,no,no
b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,184.01477,600,+,no,no
a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49,0,+,no,no
b,36.33,2125,y,p,w,v,85,t,t,1,f,g,50,1187,+,no,yes
a,35.42,12,u,g,q,h,14,t,t,8,f,g,0,6590,+,no,yes
a,71.58,0,y,p,aa,h,0,f,f,0,f,p,184.01477,0,+,no,no
b,28.67,9335,u,g,q,h,5665,t,t,6,f,g,381,168,+,no,yes
b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150,1270,+,no,no
b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,117,1210,+,yes,no
b,39.33,5875,u,g,cc,h,10,t,t,14,t,g,399,0,+,yes,yes
b,24.33,6625,y,p,d,v,5.5,t,f,0,t,s,100,0,+,no,yes
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,0,1000,+,yes,no
b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,56,742,+,no,no
b,26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,211,0,+,no,no
b,48.17,3.5,u,g,aa,v,3.5,t,f,0,f,s,230,0,+,no,no
b,41.17,4.04,u,g,cc,h,7,t,t,8,f,g,320,0,+,no,no
b,55.92,11.5,u,g,ff,ff,5,t,t,5,f,g,0,8851,+,no,yes
b,53.92,9625,u,g,e,v,8665,t,t,5,f,g,0,0,+,no,yes
a,18.92,9.25,y,p,c,v,1,t,t,4,t,g,80,500,+,no,no
a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,156,0,+,no,no
b,65.42,11,u,g,e,z,20,t,t,7,t,g,22,0,+,no,no
a,17.58,9,u,g,aa,v,1375,t,f,0,t,g,0,0,+,no,yes
a,18.83,9.54,u,g,aa,v,85,t,f,0,f,g,100,0,+,no,no
a,37.75,5.5,u,g,q,v,125,t,f,0,t,g,228,0,+,no,no
b,23.25,4,u,g,c,bb,0.25,t,f,0,t,g,160,0,+,no,no
b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,80,0,+,no,no
a,22.5,8.46,y,p,x,v,2.46,f,f,0,f,g,164,0,+,no,no
b,19.67,375,u,g,q,v,2,t,t,2,t,g,80,0,+,no,no
b,22.08,11,u,g,cc,v,665,t,f,0,f,g,100,0,+,no,yes
b,25.17,3.5,u,g,cc,v,625,t,t,7,f,g,0,7059,+,no,yes
a,47.42,3,u,g,x,v,13875,t,t,2,t,g,519,1704,+,yes,yes
b,33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,253,857,+,no,no
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,487,500,+,no,no
a,58.42,21,u,g,i,bb,10,t,t,13,f,g,0,6700,+,yes,yes
a,20.67,1835,u,g,q,v,2085,t,t,5,f,g,220,2503,+,yes,yes
b,26.17,0.25,u,g,i,bb,0,t,f,0,t,g,0,0,+,no,no
b,21.33,7.5,u,g,aa,v,1415,t,t,1,f,g,80,9800,+,no,yes
b,42.83,4625,u,g,q,v,4.58,t,f,0,f,s,0,0,+,no,yes
b,38.17,10125,u,g,x,v,2.5,t,t,6,f,g,520,196,+,no,yes
b,20.5,10,y,p,c,v,2.5,t,f,0,f,s,40,0,+,no,no
b,48.25,25085,u,g,w,v,1.75,t,t,3,f,g,120,14,+,no,yes
b,28.33,5,u,g,w,v,11,t,f,0,t,g,70,0,+,no,no
a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,184.01477,26726,+,no,yes
b,18.5,2,u,g,i,v,1.5,t,t,2,f,g,120,300,+,no,no
b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180,18027,+,no,yes
b,45,8.5,u,g,cc,h,14,t,t,1,t,g,88,2000,+,yes,no
a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,80,99,+,no,no
b,24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73,444,+,no,no
b,21.83,11,u,g,x,v,0.29,t,t,6,f,g,121,0,+,no,no
b,40.25,21.5,u,g,e,z,20,t,t,11,f,g,0,1200,+,no,no
b,41.42,5,u,g,q,h,5,t,t,6,t,g,470,0,+,no,no
a,17.83,11,u,g,x,h,1,t,t,11,f,g,0,3000,+,no,yes
b,23.17,11125,u,g,x,h,0.46,t,t,1,f,g,100,0,+,no,yes
b,31.56817,625,u,g,k,v,0.25,f,f,0,f,g,380,2010,-,yes,no
b,18.17,10.25,u,g,c,h,1085,f,f,0,f,g,320,13,-,no,yes
b,20,11045,u,g,c,v,2,f,f,0,t,g,136,0,-,no,yes
b,20,0,u,g,d,v,0.5,f,f,0,f,g,144,0,-,no,no
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200,1000,-,no,no
a,24.5,1.75,y,p,c,v,165,f,f,0,f,g,132,0,-,no,no
b,32.75,2335,u,g,d,h,5.75,f,f,0,t,g,292,0,-,no,yes
a,52.17,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-,no,no
a,48.17,1335,u,g,i,o,335,f,f,0,f,g,0,120,-,no,yes
a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,154,32,-,no,no
b,50.75,585,u,g,ff,ff,0,f,f,0,f,g,145,0,-,no,no
b,17.08,85,y,p,c,v,0.04,f,f,0,f,g,140,722,-,no,no
b,18.33,1.21,y,p,e,dd,0,f,f,0,f,g,100,0,-,no,no
a,32,6,u,g,d,v,1.25,f,f,0,f,g,272,0,-,no,no
b,59.67,1.54,u,g,q,v,125,t,f,0,t,g,260,0,+,no,no
b,18,165,u,g,q,n,0.21,f,f,0,f,g,200,40,+,no,no
b,37.58,0,u,g,ff,v,0,f,f,0,f,p,184.01477,0,+,no,no
b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,280,0,-,no,no
b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,140,0,-,no,no
b,38.25,10125,y,p,k,v,125,f,f,0,f,g,160,0,-,no,yes
b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,340,0,-,no,no
b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,120,0,-,no,no
a,19.17,5415,u,g,i,h,0.29,f,f,0,f,g,80,484,-,no,yes
a,18.17,10,y,p,q,h,165,f,f,0,f,g,340,0,-,no,no
b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,184.01477,0,-,no,no
b,16.25,835,u,g,m,v,85,t,f,0,f,s,200,0,-,yes,no
b,21.17,875,y,p,c,h,0.25,f,f,0,f,g,280,204,-,yes,no
b,23.92,585,y,p,cc,h,125,f,f,0,f,g,240,1,-,no,no
b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,80,0,-,no,no
a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108,98,-,no,no
b,23.25,12625,u,g,c,v,125,f,t,2,f,g,0,5552,-,no,yes
b,17.58,10,u,g,w,h,165,f,t,1,f,g,120,1,-,no,no
a,31.56817,1.5,u,g,ff,ff,0,f,t,2,t,g,200,105,-,no,no
b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,340,2803,-,no,yes
b,18.83,415,y,p,c,v,165,f,t,1,f,g,200,1,-,no,no
a,21.75,1.75,y,p,j,j,0,f,f,0,f,g,160,0,-,no,no
b,23,0.75,u,g,m,v,0.5,f,f,0,t,s,320,0,-,no,no
a,18.25,10,u,g,w,v,1,f,t,1,f,g,120,1,-,no,no
b,25.42,0.54,u,g,w,v,165,f,t,1,f,g,272,444,-,no,no
b,35.75,2415,u,g,w,v,125,f,t,2,f,g,220,1,-,no,yes
a,16.08,335,u,g,ff,ff,0,f,t,1,f,g,160,126,-,no,no
a,31.92,3125,u,g,ff,ff,3.04,f,t,2,t,g,200,4,-,no,yes
b,69.17,9,u,g,ff,ff,4,f,t,1,f,g,70,6,-,no,no
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,720,0,-,no,no
b,16.33,2.75,u,g,aa,v,665,f,t,1,f,g,80,21,-,no,yes
b,22.17,12125,u,g,c,v,3335,f,t,2,t,g,180,173,-,no,yes
a,57.58,2,u,g,ff,ff,6.5,f,t,1,f,g,0,10,-,no,no
b,18.25,165,u,g,d,v,0.25,f,f,0,t,s,280,0,-,no,no
b,23.42,1,u,g,c,v,0.5,f,f,0,t,s,280,0,-,no,no
a,15.92,2875,u,g,q,v,85,f,f,0,f,g,120,0,-,no,yes
a,24.75,13665,u,g,q,h,1.5,f,f,0,f,g,280,1,-,no,yes
b,48.75,26335,y,p,ff,ff,0,t,f,0,t,g,0,0,-,no,yes
b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160,25,-,no,no
b,18.58,10.29,u,g,ff,ff,415,f,f,0,f,g,80,0,-,yes,no
b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,140,0,-,no,no
a,31.75,3,y,p,j,j,0,f,f,0,f,g,160,20,-,no,no
a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,360,6,-,no,no
b,19,1.75,y,p,c,v,2335,f,f,0,t,g,112,6,-,no,yes
a,16.33,0.21,u,g,aa,v,125,f,f,0,f,g,200,1,-,no,no
a,18.58,10,u,g,d,v,415,f,f,0,f,g,80,42,-,yes,no
b,16.25,0,y,p,aa,v,0.25,f,f,0,f,g,60,0,-,no,no
b,23,0.75,u,g,m,v,0.5,t,f,0,t,s,320,0,-,no,no
b,21.17,0.25,y,p,c,h,0.25,f,f,0,f,g,280,204,-,no,no
b,17.5,22,l,gg,ff,o,0,f,f,0,t,p,450,100000,+,no,yes
b,19.17,0,y,p,m,bb,0,f,f,0,t,s,500,1,+,no,no
b,36.75,125,y,p,c,v,1.5,f,f,0,t,g,232,113,+,no,no
b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,150,8,+,no,no
a,18.08,375,l,gg,cc,ff,10,f,f,0,t,s,300,0,+,no,no
